this_trial,tangram_set,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruction_text.started,instruction_text.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,text_2.started,text_2.stopped,text.started,text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,one.started,one.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,two.started,two.stopped,three.started,three.stopped,seven.started,seven.stopped,eight.started,eight.stopped,nine.started,nine.stopped,four.started,four.stopped,five.started,five.stopped,six.started,six.stopped,ten.started,ten.stopped,eleven.started,eleven.stopped,twelve.started,twelve.stopped,gram01.started,gram01.stopped,gram02.started,gram02.stopped,gram03.started,gram03.stopped,gram04.started,gram04.stopped,gram05.started,gram05.stopped,gram06.started,gram06.stopped,gram07.started,gram07.stopped,gram08.started,gram08.stopped,gram09.started,gram09.stopped,gram10.started,gram10.stopped,gram11.started,gram11.stopped,gram12.started,gram12.stopped,easy_succ.started,easy_succ.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,11.277489299998706,None,-0.008333333333333333,-0.42685185185185187,1,0,0,text_2,0.006306159972155001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
,,,,,,,,,,,,,,,,11.277489299998706,None,12.784717700000328,None,-0.03518518518518519,-0.025,1,0,0,0.014084509999520378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,14.356129600000713,None,-0.29259259259259257,0.000925925925925926,1,0,0,easy_succ,0.0006276499989326112,None,14.356129600000713,None,14.356129600000713,None,14.356129600000713,None,14.356129600000713,None,14.356129600000713,None,14.356129600000713,None,14.356129600000713,None,14.356129600000713,None,14.356129600000713,None,14.356129600000713,None,14.356129600000713,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,14.60000189999846,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
2,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,15.746049800000037,None,-0.337037037037037,0.004629629629629629,1,0,0,easy_succ,0.01611242999570095,None,15.746049800000037,None,15.746049800000037,None,15.746049800000037,None,15.746049800000037,None,15.746049800000037,None,15.746049800000037,None,15.746049800000037,None,15.746049800000037,None,15.746049800000037,None,15.746049800000037,None,15.746049800000037,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,15.768779000001814,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
3,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,17.236689400000614,None,-0.3388888888888889,-0.007407407407407408,1,0,0,easy_succ,0.009809820003283676,None,17.236689400000614,None,17.236689400000614,None,17.236689400000614,None,17.236689400000614,None,17.236689400000614,None,17.236689400000614,None,17.236689400000614,None,17.236689400000614,None,17.236689400000614,None,17.236689400000614,None,17.236689400000614,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,17.256563099999767,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
4,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,19.4719010000008,None,-0.34444444444444444,0.002777777777777778,1,0,0,easy_succ,0.012121719999413472,None,19.4719010000008,None,19.4719010000008,None,19.4719010000008,None,19.4719010000008,None,19.4719010000008,None,19.4719010000008,None,19.4719010000008,None,19.4719010000008,None,19.4719010000008,None,19.4719010000008,None,19.4719010000008,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,19.492698400001245,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
5,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,21.07441060000201,None,-0.3398148148148148,0.000925925925925926,1,0,0,easy_succ,0.012041320002026623,None,21.07441060000201,None,21.07441060000201,None,21.07441060000201,None,21.07441060000201,None,21.07441060000201,None,21.07441060000201,None,21.07441060000201,None,21.07441060000201,None,21.07441060000201,None,21.07441060000201,None,21.07441060000201,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,21.093916900001204,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
6,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,22.273498200000176,None,-0.3398148148148148,0.000925925925925926,1,0,0,easy_succ,0.011137120000057621,None,22.273498200000176,None,22.273498200000176,None,22.273498200000176,None,22.273498200000176,None,22.273498200000176,None,22.273498200000176,None,22.273498200000176,None,22.273498200000176,None,22.273498200000176,None,22.273498200000176,None,22.273498200000176,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,22.29402459999983,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
1,1,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,23.37440609999976,None,-0.3398148148148148,0.000925925925925926,1,0,0,easy_succ,0.011466920001112157,None,23.37440609999976,None,23.37440609999976,None,23.37440609999976,None,23.37440609999976,None,23.37440609999976,None,23.37440609999976,None,23.37440609999976,None,23.37440609999976,None,23.37440609999976,None,23.37440609999976,None,23.37440609999976,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,23.394566099999793,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
2,1,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,24.65591090000089,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.008949119997851085,None,24.65591090000089,None,24.65591090000089,None,24.65591090000089,None,24.65591090000089,None,24.65591090000089,None,24.65591090000089,None,24.65591090000089,None,24.65591090000089,None,24.65591090000089,None,24.65591090000089,None,24.65591090000089,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,24.67837689999942,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
3,1,1,2,8,2,,,,,,,,,,,,,,,,,,,,,,25.326122900001792,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.011719220001396025,None,25.326122900001792,None,25.326122900001792,None,25.326122900001792,None,25.326122900001792,None,25.326122900001792,None,25.326122900001792,None,25.326122900001792,None,25.326122900001792,None,25.326122900001792,None,25.326122900001792,None,25.326122900001792,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,25.347407100001874,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
4,2,1,3,9,3,,,,,,,,,,,,,,,,,,,,,,25.539021500000672,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.011370219999662368,None,25.539021500000672,None,25.539021500000672,None,25.539021500000672,None,25.539021500000672,None,25.539021500000672,None,25.539021500000672,None,25.539021500000672,None,25.539021500000672,None,25.539021500000672,None,25.539021500000672,None,25.539021500000672,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,25.56517370000074,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
5,2,1,4,10,4,,,,,,,,,,,,,,,,,,,,,,25.69236549999914,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.011394920002203435,None,25.69236549999914,None,25.69236549999914,None,25.69236549999914,None,25.69236549999914,None,25.69236549999914,None,25.69236549999914,None,25.69236549999914,None,25.69236549999914,None,25.69236549999914,None,25.69236549999914,None,25.69236549999914,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,25.714038699999946,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
6,2,1,5,11,5,,,,,,,,,,,,,,,,,,,,,,25.79372969999895,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.002763809996395139,None,25.79372969999895,None,25.79372969999895,None,25.79372969999895,None,25.79372969999895,None,25.79372969999895,None,25.79372969999895,None,25.79372969999895,None,25.79372969999895,None,25.79372969999895,None,25.79372969999895,None,25.79372969999895,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,25.81363710000005,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
1,1,2,0,12,0,,,,,,,,,,,,,,,,,,,,,,25.9504237000001,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.008474710000882624,None,25.9504237000001,None,25.9504237000001,None,25.9504237000001,None,25.9504237000001,None,25.9504237000001,None,25.9504237000001,None,25.9504237000001,None,25.9504237000001,None,25.9504237000001,None,25.9504237000001,None,25.9504237000001,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,25.965964399998484,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
2,1,2,1,13,1,,,,,,,,,,,,,,,,,,,,,,26.125196400000277,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.012304020001465688,None,26.125196400000277,None,26.125196400000277,None,26.125196400000277,None,26.125196400000277,None,26.125196400000277,None,26.125196400000277,None,26.125196400000277,None,26.125196400000277,None,26.125196400000277,None,26.125196400000277,None,26.125196400000277,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,26.148260999998456,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
3,1,2,2,14,2,,,,,,,,,,,,,,,,,,,,,,26.282018900001276,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.011892220005393028,None,26.282018900001276,None,26.282018900001276,None,26.282018900001276,None,26.282018900001276,None,26.282018900001276,None,26.282018900001276,None,26.282018900001276,None,26.282018900001276,None,26.282018900001276,None,26.282018900001276,None,26.282018900001276,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,26.30029800000193,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
4,2,2,3,15,3,,,,,,,,,,,,,,,,,,,,,,26.426281899999594,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.011552820000360953,None,26.426281899999594,None,26.426281899999594,None,26.426281899999594,None,26.426281899999594,None,26.426281899999594,None,26.426281899999594,None,26.426281899999594,None,26.426281899999594,None,26.426281899999594,None,26.426281899999594,None,26.426281899999594,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,26.447020799998427,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
5,2,2,4,16,4,,,,,,,,,,,,,,,,,,,,,,26.57016560000193,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.012059519998729229,None,26.57016560000193,None,26.57016560000193,None,26.57016560000193,None,26.57016560000193,None,26.57016560000193,None,26.57016560000193,None,26.57016560000193,None,26.57016560000193,None,26.57016560000193,None,26.57016560000193,None,26.57016560000193,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,26.58791790000032,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
6,2,2,5,17,5,,,,,,,,,,,,,,,,,,,,,,26.765782400001626,None,-0.34074074074074073,0.000925925925925926,1,0,0,easy_succ,0.011542020001797937,None,26.765782400001626,None,26.765782400001626,None,26.765782400001626,None,26.765782400001626,None,26.765782400001626,None,26.765782400001626,None,26.765782400001626,None,26.765782400001626,None,26.765782400001626,None,26.765782400001626,None,26.765782400001626,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,26.7844780000014,None,1,001,2019_Nov_03_1905,tg_main,3.2.4,59.91389175473956,
